side_a_outcome,side_b_outcome,side_a_total_ships,side_b_total_ships,side_a_total_planes,side_b_total_planes,side_a_total_sam_sites,side_b_total_sam_sites,side_a_total_fuel_available,side_b_total_fuel_available,side_a_aircraft_carrier,side_b_aircraft_carrier,side_a_destroyer,side_b_destroyer,side_a_frigate,side_b_frigate,side_a_corvette,side_b_corvette,side_a_amphibious_assault_ship,side_b_amphibious_assault_ship,side_a_patrol_boat,side_b_patrol_boat,side_a_f35a_lightning_ii,side_b_f35a_lightning_ii,side_a_kc135r_stratotanker,side_b_kc135r_stratotanker,side_a_a10c_thunderbolt_ii,side_b_a10c_thunderbolt_ii,side_a_b2_spirit,side_b_b2_spirit,side_a_f22_raptor,side_b_f22_raptor,side_a_c130_hercules,side_b_c130_hercules,side_a_c17_globemaster_iii,side_b_c17_globemaster_iii,side_a_f16_fighting_falcon,side_b_f16_fighting_falcon,side_a_f15_eagle,side_b_f15_eagle,side_a_fa18_hornet,side_b_fa18_hornet,side_a_b52_stratofortress,side_b_b52_stratofortress,side_a_f4_phantom_ii,side_b_f4_phantom_ii,side_a_b1b_lancer,side_b_b1b_lancer,side_a_c12_huron,side_b_c12_huron,side_a_f14_tomcat,side_b_f14_tomcat,side_a_total_weapons_stored,side_b_total_weapons_stored,side_a_total_missions_assigned,side_b_total_missions_assigned,side_a_patrol_missions_assigned,side_b_patrol_missions_assigned,side_a_strike_missions_assigned,side_b_strike_missions_assigned,
0,0,0,1,7,3,0,2,662663,3054698,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,5,0,0,0,1,
0,0,0,3,7,3,0,0,662663,30851396,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,4,0,0,0,2,
0,1,1,0,5,6,2,0,2884294,439995,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,146,0,0,2,0,0,0,0,
0,0,1,0,5,4,2,0,2884294,220999,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,146,0,0,2,0,0,0,2,
0,0,1,1,5,7,2,1,2884294,3902474,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,22,56,0,1,0,0,0,1,
0,0,1,0,5,6,2,0,2884294,439995,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,146,0,0,3,0,0,0,2,
0,0,1,1,5,5,2,1,2884294,3873674,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,62,56,0,2,0,0,0,2,
0,0,1,0,5,1,2,0,2884294,166999,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,146,0,2,0,0,0,2,0,
0,0,1,0,5,5,2,0,2884294,384197,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,146,0,0,2,0,0,0,2,
0,0,1,0,5,4,2,0,2884294,220999,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,146,0,0,2,0,0,0,2,
0,0,1,1,5,3,2,1,2884294,3801274,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,146,56,0,2,0,0,0,2,
0,0,1,0,5,5,2,0,2884294,240991,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,146,0,0,2,0,0,0,2,
0,0,1,5,5,3,1,0,25304090,38904000,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,146,730,3,1,1,0,2,1,
0,0,0,0,8,4,0,0,668911,88898,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,

0,0,0,2,8,3,0,1,668911,10094074,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,21,0,2,0,0,0,2,
0,1,0,1,8,4,0,0,668911,25455494,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1,0,0,0,1,
0,0,0,0,8,3,0,1,668911,70400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,
0,0,0,2,8,3,0,1,668911,10094074,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,21,0,2,0,0,0,2,
0,0,0,0,8,5,0,0,668911,100898,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,3,0,
1,0,0,0,8,4,0,0,668911,958525,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,2,
0,0,0,0,3,1,0,0,53994.41666666667,199990.69444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
1,0,0,0,3,1,0,0,53994.41666666667,199990.69444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,
1,0,0,0,3,1,0,0,54000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,
0,1,0,0,0,4,2,2,0,312074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,1,
1,
0,1,0,0,0,2,2,1,0,277274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,
1,0,0,0,2,1,2,1,36498,36200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,
1,1,0,0,1,2,2,1,12000,301474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,
0,1,0,0,0,2,2,1,0,326087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,
0,0,0,0,0,1,2,1,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
0,1,0,0,0,2,2,1,0,184999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,
1,0,0,2,3,2,0,0,48600,28028800,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,1,0,1,
1,0,0,2,3,3,0,0,48600,6636197,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,2,1,1,0,1,
0,0,0,0,3,5,0,0,48600,115600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0,0,2,
1,0,0,1,3,2,0,1,48600,3550600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0,0,2,
